district_id;count;A2
1;84;Hl.m. Praha
70;24;Karvina
54;24;Brno - mesto
74;20;Ostrava - mesto
64;17;Zlin
68;16;Frydek - Mistek
72;14;Olomouc
52;14;Usti nad Orlici
19;14;Prachatice
38;13;Louny
50;12;Svitavy
11;11;Praha - zapad
16;11;Jindrichuv Hradec
47;10;Pardubice
55;10;Brno - venkov
5;10;Kolin
62;10;Uherske Hradiste
27;9;Plzen - jih
59;9;Kromeriz
60;9;Prostejov
34;9;Chomutov
6;9;Kutna Hora
9;9;Nymburk
13;8;Rakovnik
73;8;Opava
29;8;Rokycany
31;8;Tachov
44;8;Chrudim
12;8;Pribram
69;8;Jesenik
24;8;Karlovy Vary
14;8;Ceske Budejovice
66;7;Zdar nad Sazavou
53;7;Blansko
4;7;Kladno
45;7;Jicin
42;7;Havlickuv Brod
56;7;Breclav
37;7;Litomerice
36;7;Liberec
15;7;Cesky Krumlov
21;7;Tabor
63;7;Vyskov
28;7;Plzen - sever
57;6;Hodonin
61;6;Trebic
67;6;Bruntal
71;6;Novy Jicin
51;6;Trutnov
65;6;Znojmo
77;6;Vsetin
7;6;Melnik
46;6;Nachod
40;6;Teplice
2;6;Benesov
20;6;Strakonice
32;6;Ceska Lipa
3;6;Beroun
26;6;Plzen - mesto
48;6;Rychnov nad Kneznou
39;5;Most
43;5;Hradec Kralove
76;5;Sumperk
8;5;Mlada Boleslav
10;5;Praha - vychod
33;4;Decin
23;4;Cheb
75;4;Prerov
58;4;Jihlava
17;4;Pelhrimov
49;3;Semily
18;3;Pisek
41;3;Usti nad Labem
25;3;Klatovy
22;2;Domazlice
30;2;Sokolov
35;1;Jablonec n. Nisou
