account_id;transaction_count
8261;675
3834;665
96;661
2932;655
9307;649
9265;643
5215;637
2762;634
1801;633
866;628
5952;628
2926;620
1006;613
9034;611
2023;610
3050;609
2484;608
655;606
485;605
9188;605
3935;602
1726;602
5313;601
1378;600
3007;600
982;599
10451;598
396;596
1338;592
7819;591
1402;589
1000;584
4079;584
9093;580
6040;580
7857;579
173;572
11013;571
3674;570
3558;569
239;569
2938;569
2838;567
7133;567
3882;566
47;565
3212;565
5622;565
2632;564
1566;564
1978;564
11295;563
3260;563
3424;562
3096;562
9236;561
3818;560
4937;560
1404;559
772;558
1019;557
3909;556
2645;555
1513;553
1276;551
10738;550
8625;549
244;547
9833;547
2676;547
2649;546
3302;545
8475;544
477;543
8564;543
2241;541
1515;540
9203;540
7445;539
2318;536
2050;536
8321;535
1366;534
2486;534
368;533
8073;533
3354;533
8405;532
1891;532
2779;531
362;530
3629;530
9640;530
5442;530
3413;529
1644;528
425;528
8519;527
9337;526
2991;525
8330;525
3948;523
2523;522
1200;520
3113;519
5423;516
3064;512
738;512
854;511
1412;511
588;508
1779;507
686;506
2700;505
196;504
2697;503
555;503
5927;502
7753;500
931;499
11021;499
1603;499
10105;499
793;497
5129;496
71;496
3999;493
2813;493
816;493
11111;492
3714;492
2189;491
3094;491
863;491
897;491
290;491
2068;490
2510;490
1750;490
1762;490
9883;489
2542;489
2219;488
902;488
273;488
2951;487
10364;487
1909;486
2379;485
11265;484
9707;483
1766;483
541;481
280;481
207;481
9656;481
5422;480
2527;480
1949;480
704;479
6701;479
2902;479
1678;479
7401;478
1761;478
4414;478
1813;478
2;478
8982;477
107;476
2124;476
784;476
3745;476
2429;476
3617;475
2482;475
10973;474
10663;473
2694;473
6473;473
2933;473
2555;472
385;472
2176;471
3593;471
494;471
8899;471
2122;470
3980;470
7123;470
10093;470
1565;470
1811;470
3487;469
2471;469
361;468
10670;468
1286;468
2052;467
365;466
1440;466
9869;465
2008;465
5891;464
4907;464
1815;464
1828;464
327;464
2996;464
3035;464
4418;463
358;463
3391;462
6353;462
5270;462
1843;462
2763;462
2770;461
10911;460
2322;460
1695;459
3195;459
8212;459
5991;459
1809;459
3309;459
4259;458
334;458
5428;458
2862;457
10440;457
90;457
9591;457
510;456
773;456
443;455
3649;455
1134;454
9472;454
2216;454
5228;454
5120;453
10266;453
2313;453
